#QM    interpInQMgrid400k    MM
0.263145 0.535566 0.146261
0.148763 0.299165 0.170975
1.274340 1.180268 0.497407
0.621097 0.555237 0.140985
0.603279 0.496718 0.217377
-6.029894 -5.973987 -0.678399
-5.275019 -5.200908 -0.849969
-5.069588 -4.996254 -0.677097
-0.177697 -0.174827 -0.027935
-0.209300 -0.223101 -0.061977
0.423139 0.349955 0.184038
0.223620 0.236135 0.148959
0.042960 0.030538 0.058419
-0.014960 -0.064239 -0.071100
-0.900878 -0.903117 -0.647204
-2.412208 -2.255913 -0.373413
1.554359 1.642867 0.754419
-0.314047 -0.342030 -0.162376
0.141160 0.157129 0.053135
0.090569 0.097292 0.024446
-0.079772 -0.056503 -0.047008
0.092731 0.076858 0.031939
-0.080505 -0.104004 -0.006623
-0.047717 -0.074730 -0.041002
0.218371 0.210575 0.110753
-0.013543 -0.004556 0.036409
0.026730 0.017570 -0.106129
0.226487 0.078015 0.301811
0.556932 0.557120 0.162169
0.180412 0.133442 0.018946
-0.189218 -0.088543 -0.108233
0.017562 0.044659 0.063311
-0.017657 0.074238 0.044220
-0.015334 0.058157 0.112012
0.301887 0.398065 0.212672
2.104795 2.280724 0.494903
4.501453 4.673024 -0.306824
4.964248 4.858115 1.449551
0.170938 0.136748 0.101443
-0.137368 -0.106296 -0.101999
-0.044880 -0.003617 -0.044940
0.100999 0.054840 0.039480
-0.073853 -0.016800 -0.005148
-0.236697 -0.311218 -0.169064
-0.045596 -0.176356 -0.084056
0.143432 0.120178 0.059422
0.140366 0.085340 0.058658
1.093889 1.003110 0.224751
0.898265 0.754200 0.232245
0.776189 0.893213 0.791520
-0.108966 -0.136290 0.011793
0.268215 0.272686 0.041034
0.471991 0.506807 0.331909
-1.163165 -1.283806 -0.821986
-0.062052 -0.089776 0.052285
-0.699228 -0.631279 -0.304604
0.089130 0.119687 0.047042
0.056648 0.040400 0.028162
-0.286217 -0.160079 -0.174442
-0.097709 -0.246888 -0.032085
-0.339927 -0.308883 -0.191180
-0.071697 -0.026579 -0.077691
-0.264190 -0.289333 -0.164823
-0.483548 -0.421824 -0.087421
-0.504825 -0.489726 -0.248448
19.393938 18.581828 1.371490
6.687013 5.336899 1.869232
-15.685528 -16.473524 -3.009824
-1.300301 -1.276257 1.674993
-6.944742 -7.004621 0.599954
1.199546 1.349523 -0.197684
0.017257 0.027461 -0.014176
-0.142429 -0.178502 -0.039957
-0.358541 -0.477422 -0.198005
-0.148625 -0.082008 -0.034062
-0.164084 -0.178953 -0.094433
0.042425 0.085620 0.020999
0.208004 0.205551 0.140119
-0.092870 -0.057002 -0.050351
0.210547 0.371906 0.224634
-0.218115 -0.273743 2.206705
3.474929 3.438513 -1.153552
-7.906939 -7.900867 1.649333
0.110242 0.065798 0.019321
-0.028729 0.000550 0.015890
0.007408 -0.012393 -0.009383
0.102611 0.107022 0.020351
0.198181 0.023994 0.097049
-0.148761 -0.082806 -0.033047
0.543065 0.359659 -0.389376
-0.686150 -1.004616 -0.442046
0.750750 0.855883 0.314858
1.279744 1.036681 0.532643
-0.653304 -0.543287 -0.435605
-0.208451 -0.127668 0.084393
33.577572 34.219633 0.177572
15.010549 14.463228 1.386893
47.723911 49.116019 2.136736
-0.110141 -0.118147 -0.112330
0.132632 0.118462 0.080633
0.030280 0.004347 -0.066567
0.082144 0.047227 0.045698
-0.114804 -0.118985 -0.055232
-0.127891 -0.103299 -0.050676
-0.122882 -0.246859 -0.040958
-1.938965 -2.044414 -0.755783
-0.065022 -0.036811 0.313966
0.953288 0.964516 0.644639
-0.204993 -0.208616 0.085857
0.559880 0.524018 0.360316
-0.058538 -0.057002 -0.037830
-0.130660 -0.109454 -0.069953
-0.016432 -0.003173 0.012635
-0.384527 -0.220945 -0.099278
0.176796 0.245385 0.178454
0.358403 0.059097 0.020419
-0.053293 0.016387 -0.006758
-0.173305 -0.247629 -0.110865
-0.528801 -0.598084 -0.255894
1.013597 1.032683 0.436678
-1.172158 -1.138521 -0.733701
-0.343131 -0.356178 0.016412
0.453162 0.405956 0.401917
-0.715285 -0.682856 -0.317069
0.001307 -0.003181 -0.054945
-0.007085 -0.440478 -0.065631
0.035863 -0.356844 0.051099
-1.010596 -0.497485 -0.452093
0.077914 -0.013001 -0.022531
-0.240431 -0.291427 -0.111804
-0.055022 -0.096570 -0.023947
0.826774 0.760342 0.747810
