#QM    interpInQMgrid400k    MM
0.104958 -26.215514 0.055528
0.288770 22.528351 0.035180
0.075416 -24.009818 0.007290
0.395950 -15.083685 0.127071
-0.639309 31.485784 -0.286564
-1.012843 -30.945167 -0.299542
1.227647 20.490246 0.260537
-0.074019 6.708617 0.806977
3.512936 -69.351617 1.272951
5.770920 -39.862336 1.896790
-0.708699 18.314157 -0.387550
0.051365 19.722227 0.082294
-0.243953 -2.868098 -0.011155
0.136977 7.515440 0.161846
0.390404 7.897844 0.146926
0.626372 -18.478530 0.347283
1.542692 -37.562288 1.147902
-0.261752 2.274045 0.215810
1.742136 55.767575 0.913318
-0.245385 -18.594092 -0.081558
-0.436142 9.780112 -0.198748
0.478407 -4.310777 0.282847
0.054425 4.894218 0.038262
0.230619 4.579523 0.072493
0.403079 -10.266268 0.222745
0.652654 6.961855 0.339636
0.192109 -7.619594 0.070338
0.365693 7.771648 0.203802
-0.761208 -29.188558 -0.287626
-0.205762 14.603901 -0.162784
0.378775 18.759730 0.119339
-0.443290 -5.502210 -0.210905
-0.257523 7.843129 -0.114876
-0.262400 -18.216193 -0.058390
-0.501175 17.713964 -0.185018
0.054560 15.819392 0.081208
0.157143 13.638757 -0.035628
-2.398440 -19.866899 -1.258438
1.807789 -57.613201 0.387044
1.327629 -25.317262 1.068044
-0.116532 -3.400233 -0.115195
-0.037745 7.023422 -0.060686
-0.291516 -4.594727 -0.152706
0.030892 23.176472 -0.000715
-0.436138 -1.080740 -0.363631
-0.550053 -24.293153 -0.319400
-0.406134 -19.737942 -0.192014
-0.231445 -9.280324 -0.099771
0.156084 -5.857613 -0.016876
-2.283632 -7.510287 -1.112083
1.718380 -26.573013 0.569176
-0.061694 44.715882 0.089313
1.109265 2.108863 0.554602
-0.219274 3.553939 -0.118363
-0.096076 36.139148 -0.058163
-0.163541 nan 0.046731
0.824314 nan 0.235917
-0.186889 nan 0.167396
-0.044832 -7.775024 -0.033421
0.021438 15.205675 -0.016658
0.100532 12.198807 0.042092
0.440938 11.201787 0.264579
-0.286037 16.522516 -0.187607
0.306364 21.524307 0.198041
-0.119238 -18.602288 0.121980
0.412910 31.145067 0.270056
-0.406897 3.639132 -0.153468
5.525363 76.230170 1.214652
-1.521180 5.506151 -1.735547
4.424369 8.790907 -0.267449
-3.206344 66.357289 0.062115
-3.085806 -10.601235 -1.803049
-1.366710 9.366956 -1.207218
0.999899 -4.590841 0.491613
-0.619404 -9.070761 -0.361354
0.200188 -29.495006 0.029320
0.520373 9.746745 0.284373
-0.040845 12.608531 0.052392
-0.445188 -14.699401 -0.132777
0.225749 5.703453 0.184279
0.014449 -2.555875 0.133594
0.197264 32.763278 0.094560
-1.982099 42.891157 0.760567
4.337016 48.632619 2.282870
3.108338 -40.010136 1.676058
0.237796 -7.204174 0.148463
-0.156315 4.635458 -0.063177
0.252388 10.226237 0.126517
0.255297 18.203821 0.031044
0.573232 16.806848 0.331090
0.456836 15.013646 0.140794
0.071489 57.381701 0.240838
0.736992 -6.477083 0.191320
1.449666 -11.873864 0.401289
-0.334832 -11.033387 -0.009075
1.294606 14.749251 0.758484
0.085009 -49.401962 0.386660
-6.213433 -87.709909 -2.618125
10.299970 -38.139214 2.953759
-0.006349 -10.142559 0.634621
-0.263479 11.559832 -0.143175
-0.106460 -13.805949 -0.002630
0.467237 10.610224 0.264542
-0.359730 0.022456 -0.185560
-0.108664 -0.006804 -0.099168
-0.125870 0.015874 -0.054594
-2.653620 40.971470 -1.678592
